sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
16,16,15,527,637,136,142,1,1,753,908,0,0,1,1
17,17,16,1054,1734,288,366,1,1,1751,2806,0,0,1,1
7,7,5,170,188,99,112,1,1,365,447,0,0,1,1
26,24,21,3238,6075,741,1086,0,0,4963,9738,0,0,1,1
11,11,10,491,692,155,186,1,1,768,1069,0,0,1,1
15,15,14,491,633,139,148,1,1,787,1015,0,0,1,1
12,11,7,789,1115,351,523,1,1,1422,2355,0,0,1,1
13,13,11,857,1275,318,391,1,1,1306,2071,0,0,1,1
9,9,8,215,255,57,67,1,1,334,394,0,0,1,1
29,27,26,3659,7542,472,604,1,1,4663,9378,0,0,1,1
12,11,10,309,356,132,150,1,1,550,658,0,0,1,1
14,13,11,1622,2828,436,937,0,1,2342,4618,0,0,1,1
20,20,18,3700,7403,781,1221,1,1,4833,9916,0,0,1,1
6,6,5,72,70,6,6,1,1,100,99,0,0,1,1
17,15,13,641,797,138,167,1,1,955,1284,0,0,1,1
16,16,15,1071,1822,297,354,1,1,1790,3287,0,0,1,1
7,7,5,111,130,31,37,1,1,168,193,0,0,1,1
9,8,7,392,514,114,129,1,1,575,768,0,0,1,1
10,9,7,309,361,137,149,1,1,529,634,0,0,1,1
12,12,11,257,284,87,91,1,1,455,528,0,0,1,1
19,19,17,1777,2956,458,667,1,1,2684,4555,0,0,1,1
10,10,9,233,286,90,101,1,1,399,497,0,0,1,1
19,19,18,1809,3074,373,513,1,1,2369,3997,0,0,1,1
9,9,8,399,500,106,133,0,1,572,754,0,0,1,1
9,9,8,221,241,57,57,0,1,312,350,0,0,1,1
14,13,12,688,1109,199,215,1,1,1131,1773,0,0,1,1
16,15,14,1118,1693,356,491,1,1,1544,2440,0,0,1,1
8,8,7,269,304,80,80,1,1,387,446,0,0,1,1
7,7,6,120,119,56,56,1,1,187,186,0,0,1,1
20,19,18,1101,1654,245,281,1,1,1566,2260,0,0,1,1
13,12,9,354,446,145,153,1,1,640,784,0,0,1,1
22,22,21,2119,3565,447,566,1,1,3180,5372,0,0,1,1
18,18,17,1096,1729,190,227,1,1,1618,2604,0,0,1,1
7,7,5,251,286,116,144,1,1,485,621,0,0,1,1
23,21,19,1092,1599,345,393,1,1,2211,3473,0,0,1,1
8,8,7,205,218,49,50,1,1,276,295,0,0,1,1
7,7,5,103,98,45,47,0,0,307,374,0,0,1,1
11,11,9,666,996,288,421,1,1,1191,1922,0,0,1,1
7,7,6,96,94,20,20,1,1,159,158,0,0,1,1
9,9,8,267,351,100,101,1,1,466,611,0,0,1,1
22,21,18,4116,9418,1132,1968,1,1,6441,15808,0,0,1,1
7,7,6,221,258,69,69,1,1,324,378,0,0,1,1
13,13,12,303,360,140,159,1,1,532,649,0,0,1,1
10,10,8,938,1584,296,630,0,1,1523,2987,0,0,1,1
10,8,7,166,166,32,32,1,1,213,220,0,0,1,1
23,21,19,1813,2906,322,418,1,1,2279,3583,0,0,1,1
20,17,16,1093,1548,331,406,1,1,1632,2351,0,0,1,1
13,12,11,477,598,80,85,1,1,614,762,0,0,1,1
9,9,6,237,272,147,165,0,1,586,796,0,0,1,1
16,16,15,897,1498,287,421,0,1,1592,2699,0,0,1,1
24,23,22,1772,2950,578,757,1,1,3778,7269,0,0,1,1
15,15,14,819,1288,224,259,1,1,1198,1818,0,0,1,1
17,17,16,1846,3180,820,1260,0,1,3367,6363,0,0,1,1
16,16,13,836,1048,201,214,1,1,1187,1520,0,0,1,1
16,15,14,1120,1920,382,474,1,1,1905,3209,0,0,1,1
13,13,8,609,885,286,459,0,1,1207,1970,0,0,1,1
23,22,21,2384,4287,555,857,1,1,3358,6089,0,0,1,1
10,10,9,918,1938,147,174,1,1,1138,2296,0,0,1,1
20,19,18,3027,6303,692,1037,1,1,4153,8680,0,0,1,1
10,10,9,560,783,159,168,1,1,813,1125,0,0,1,1
22,22,21,1020,1340,230,242,1,1,1447,1925,0,0,1,1
18,18,17,4068,8782,487,684,1,1,4952,10733,0,0,1,1
17,17,15,1112,1783,330,396,1,1,2125,3883,0,0,1,1
14,14,11,1124,1944,481,758,1,1,2014,3469,0,0,1,1
17,17,16,1207,2600,398,517,1,1,2217,4382,0,0,1,1
9,7,4,211,212,131,157,0,1,649,788,0,0,1,1
8,8,7,493,696,146,167,1,1,670,933,0,0,1,1
9,9,8,147,144,24,24,1,1,182,180,0,0,1,1
17,16,13,1424,2631,258,320,1,1,2000,3514,0,0,1,1
20,19,18,1244,1670,366,493,1,1,1775,2452,0,0,1,1
16,14,12,416,512,134,146,1,1,752,956,0,0,1,1
16,15,14,1364,2306,551,702,1,1,2120,3770,0,0,1,1
10,10,8,319,381,113,135,1,1,551,682,0,0,1,1
14,14,13,583,669,112,120,1,1,755,885,0,0,1,1
30,29,27,2919,4701,387,480,0,0,3587,5789,0,0,1,1
7,7,5,166,183,114,119,1,1,401,480,0,0,1,1
16,16,15,2017,3965,510,870,1,1,2728,5510,0,0,1,1
5,5,4,63,61,18,18,1,1,84,82,0,0,1,1
22,21,20,3395,6641,991,1527,1,1,5056,10480,0,0,1,1
15,15,14,1228,2290,296,323,1,1,1751,3089,0,0,1,1
11,11,10,687,1062,270,335,1,1,1083,1742,0,0,1,1
22,21,20,4582,11589,852,1463,1,1,6097,15630,0,0,1,1
15,15,14,1502,2676,491,578,1,1,2266,3888,0,0,1,1
10,10,9,576,884,189,201,1,1,846,1244,0,0,1,1
25,23,21,2425,3614,545,695,1,1,3628,5757,0,0,1,1
14,14,13,743,1133,189,225,0,1,1102,1635,0,0,1,1
17,17,15,1766,3851,619,918,1,1,3326,7002,0,0,1,1
20,19,18,2203,3972,478,725,1,1,3060,5432,0,0,1,1
23,21,19,3115,5608,565,690,1,1,3963,7336,0,0,1,1
8,8,7,329,472,108,118,1,1,466,650,0,0,1,1
38,37,36,6344,13270,906,1169,1,1,7859,15959,0,0,1,1
6,5,4,64,60,17,17,1,1,92,88,0,0,1,1
17,17,16,2280,4415,672,1174,1,1,3301,6792,0,0,1,1
17,17,14,1064,1597,141,222,0,1,1341,2155,0,0,1,1
13,13,12,1657,3134,583,828,1,1,2537,4880,0,0,1,1
23,22,21,5164,10193,1437,2552,1,1,7405,15402,0,0,1,1
12,12,10,747,1144,318,349,1,1,1291,1942,0,0,1,1
10,10,9,321,446,44,50,0,1,408,558,0,0,1,1
20,20,18,1919,3383,480,549,1,1,2760,4798,0,0,1,1
7,7,5,183,215,81,91,1,1,316,367,0,0,1,1
11,11,10,1118,1693,269,345,1,1,1459,2271,0,0,1,1
13,13,12,478,697,147,164,1,1,779,1101,0,0,1,1
13,13,12,410,552,110,119,1,1,675,920,0,0,1,1
12,12,11,853,1617,268,423,0,1,1413,2588,0,0,1,1
13,13,12,1113,1770,349,579,0,0,1768,3096,0,0,1,1
11,11,10,1049,2351,367,437,1,1,1826,3800,0,0,1,1
18,18,17,888,1274,296,408,1,1,1533,2346,0,0,1,1
10,10,8,224,259,90,90,1,1,427,517,0,0,1,1
19,19,15,2333,4960,1048,1660,1,1,4764,10829,0,0,1,1
11,11,9,169,173,55,56,1,1,279,303,0,0,1,1
23,21,20,1707,2787,392,476,1,1,2523,4107,0,0,1,1
28,26,24,3896,6912,823,1402,0,1,5210,9397,0,0,1,1
11,11,10,305,382,118,118,1,1,550,712,0,0,1,1
8,7,6,403,525,81,100,1,1,513,680,0,0,1,1
15,15,14,594,731,256,280,1,1,996,1230,0,0,1,1
25,24,23,8070,22592,1512,2814,1,1,10386,28649,0,0,1,1
10,10,9,486,596,200,245,0,1,796,1043,0,0,1,1
19,19,18,1607,2900,370,401,1,1,2457,4411,0,0,1,1
14,12,10,1982,3678,564,1206,1,1,2966,6188,0,0,1,1
13,13,12,413,487,85,85,1,1,653,791,0,0,1,1
11,11,6,364,426,243,303,0,1,1095,1738,0,0,1,1
18,18,16,1916,3404,502,751,0,0,2675,4809,0,0,1,1
14,13,11,891,1216,189,238,0,0,1242,1743,0,0,1,1
21,21,19,4042,11432,1173,1550,1,1,7035,18678,0,0,1,1
13,13,11,313,356,99,104,0,1,514,617,0,0,1,1
10,10,8,486,743,250,308,1,1,900,1407,0,0,1,1
11,10,9,330,379,70,72,1,1,452,531,0,0,1,1
17,16,15,1255,1815,220,276,1,1,1613,2319,0,0,1,1
14,14,11,1199,2029,400,490,1,1,1915,3352,0,0,1,1
15,15,11,1079,1596,450,593,1,1,1995,3341,0,0,1,1
14,13,12,555,662,131,152,1,1,785,981,0,0,1,1
17,17,14,2024,3920,608,888,1,1,2867,5722,0,0,1,1
30,29,28,6574,14808,1415,2426,1,1,8613,19710,0,0,1,1
10,9,7,316,475,145,169,0,1,657,945,0,0,1,1
10,9,8,193,237,71,74,1,1,327,397,0,0,1,1
24,23,21,2612,4448,1110,1897,1,1,4656,8812,0,0,1,1
18,18,16,1311,2273,167,210,1,1,1599,2731,0,0,1,1
6,6,4,63,57,17,17,0,1,173,191,0,0,1,1
10,10,9,419,769,164,164,1,1,919,1620,0,0,1,1
5,5,4,101,117,32,34,0,1,179,232,0,0,1,1
24,23,22,3762,8469,676,1104,1,1,5200,12283,0,0,1,1
7,6,5,111,110,35,35,1,1,166,166,0,0,1,1
31,28,27,6720,16517,1378,2262,1,1,10164,26912,0,0,1,1
17,17,16,959,1765,297,345,1,1,1564,2752,0,0,1,1
7,7,6,92,86,27,27,1,1,146,141,0,0,1,1
6,6,4,93,91,44,44,0,1,206,237,0,0,1,1
7,6,5,198,262,96,97,1,1,329,407,0,0,1,1
10,10,9,209,231,71,72,1,1,380,436,0,0,1,1
10,10,8,295,334,113,136,0,1,505,610,0,0,1,1
5,5,4,100,100,28,28,1,1,134,135,0,0,1,1
14,14,13,1145,1689,298,447,1,1,1543,2391,0,0,1,1
14,13,12,1129,1714,220,356,0,1,1543,2505,0,0,1,1
16,16,15,2276,4847,698,1245,1,1,3416,7673,0,0,1,1
8,7,6,450,655,165,265,1,1,767,1241,0,0,1,1
6,6,5,99,98,49,56,0,0,216,239,0,0,1,1
12,12,11,918,2090,211,241,1,1,1316,2672,0,0,1,1
10,9,8,318,399,113,133,0,0,638,913,0,0,1,1
24,22,19,1917,2995,476,549,1,1,2768,4278,0,0,1,1
12,12,11,547,767,164,187,1,1,826,1172,0,0,1,1
9,9,8,291,378,124,149,1,1,530,749,0,0,1,1
10,9,7,254,283,50,50,1,1,351,391,0,0,1,1
18,17,15,1223,1697,267,303,1,1,1692,2396,0,0,1,1
20,20,19,1279,2120,304,432,1,1,1751,2897,0,0,1,1
11,11,10,541,853,192,272,1,1,880,1404,0,0,1,1
11,8,7,196,201,56,61,0,1,313,359,0,0,1,1
