file-name,sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_227-p/morph_227.68-s.xml,14,14,13,760,1117,83,83,0,1,994,1489,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_3-p/morph_3.13-s.xml,13,12,11,966,1614,121,164,1,1,1276,2247,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_35-p/morph_35.45-s.xml,11,10,9,247,270,7,7,0,1,275,305,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_46-p/morph_46.33-s.xml,4,4,3,72,70,13,13,0,1,115,116,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_5-p/morph_5.44-s.xml,10,10,7,226,246,33,41,0,1,386,552,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_57-p/morph_57.7-s.xml,7,6,5,166,173,61,83,0,1,346,505,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_83-p/morph_83.37-s.xml,6,6,5,161,175,29,30,1,1,232,261,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_84-p/morph_84.21-s.xml,21,20,19,1620,2643,129,168,1,1,1966,3561,0,0,1,1
NKJP_1M_0302000000001/morph_8-p/morph_8.45-s.xml,21,20,19,1199,1964,27,31,0,1,1231,2012,0,0,1,1
NKJP_1M_0302000000001/morph_8-p/morph_8.90-s.xml,6,6,5,112,117,5,5,1,1,131,144,0,0,1,1
NKJP_1M_0302000000004/morph_2-p/morph_2.55-s.xml,14,13,12,1278,2488,116,225,1,1,1412,2835,0,0,1,1
NKJP_1M_0302000000004/morph_25-p/morph_25.13-s.xml,13,13,12,763,1068,20,20,1,1,789,1115,0,0,1,1
NKJP_1M_0302000000005/morph_4-p/morph_4.34-s.xml,12,12,11,605,906,28,31,1,1,640,952,0,0,1,1
NKJP_1M_0302000000006/morph_7-p/morph_7.56-s.xml,10,10,6,138,143,13,13,0,1,389,483,0,0,1,1
NKJP_1M_0302000000007/morph_14-p/morph_14.7-s.xml,7,7,5,54,47,2,2,0,1,68,66,0,0,1,1
NKJP_1M_0302000000007/morph_2-p/morph_2.51-s.xml,31,28,26,5284,9625,415,908,1,1,5881,11122,0,0,1,1
NKJP_1M_0302000000010/morph_1-p/morph_1.62-s.xml,14,14,13,355,414,27,28,1,1,388,451,0,0,1,1
NKJP_1M_0302000000010/morph_10-p/morph_10.26-s.xml,26,25,24,2993,5138,68,106,1,1,3076,5420,0,0,1,1
NKJP_1M_0302000000010/morph_11-p/morph_11.8-s.xml,8,8,7,147,148,17,23,0,1,179,193,0,0,1,1
NKJP_1M_0302000000011/morph_12-p/morph_12.14-s.xml,14,14,13,541,705,39,58,1,1,678,924,0,0,1,1
NKJP_1M_0302000000011/morph_15-p/morph_15.26-s.xml,9,9,8,205,225,16,22,0,1,230,259,0,0,1,1
NKJP_1M_0302000000014/morph_11-p/morph_11.35-s.xml,7,7,6,75,69,1,1,0,1,82,80,0,0,1,1
NKJP_1M_0302000000015/morph_3-p/morph_3.32-s.xml,17,17,16,1191,2203,28,63,0,1,1223,2300,0,0,1,1
NKJP_1M_0302000000015/morph_4-p/morph_4.62-s.xml,26,25,24,2682,5272,30,40,1,1,2730,5345,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_1-p/morph_1.25-s.xml,12,11,9,257,330,3,3,0,1,344,490,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_1-p/morph_1.6-s.xml,6,6,5,81,79,3,3,1,1,86,84,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_1-p/morph_1.71-s.xml,6,6,5,110,133,2,2,1,1,115,138,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_120-p/morph_120.56-s.xml,15,14,12,1011,1491,55,77,0,1,1307,2166,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_138-p/morph_138.45-s.xml,18,18,17,608,821,0,0,1,1,609,822,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_146-p/morph_146.13-s.xml,13,13,12,520,722,15,15,0,1,639,922,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_160-p/morph_160.20-s.xml,11,10,8,360,498,27,27,0,1,635,964,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_160-p/morph_160.9-s.xml,7,7,6,103,100,0,0,1,1,104,101,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_186-p/morph_186.76-s.xml,24,23,22,2687,4559,131,165,1,1,2845,4875,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_199-p/morph_199.43-s.xml,18,16,14,761,1121,38,40,1,1,839,1235,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_208-p/morph_208.17-s.xml,10,9,8,160,176,7,7,1,1,178,208,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_208-p/morph_208.71-s.xml,18,18,17,670,909,10,10,1,1,686,935,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_21-p/morph_21.46-s.xml,16,16,13,683,937,38,44,0,1,845,1351,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_212-p/morph_212.19-s.xml,12,11,10,592,840,92,104,1,1,950,1618,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_212-p/morph_212.26-s.xml,7,7,6,164,204,6,6,0,1,175,234,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_212-p/morph_212.62-s.xml,13,13,11,586,755,64,70,1,1,814,1137,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_212-p/morph_212.7-s.xml,7,7,6,76,73,2,2,0,1,106,112,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_216-p/morph_216.29-s.xml,5,5,4,105,117,7,7,0,1,115,131,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_217-p/morph_217.14-s.xml,14,14,12,1144,1975,50,63,0,1,1268,2289,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_221-p/morph_221.53-s.xml,12,9,8,396,510,5,5,1,1,403,517,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_221-p/morph_221.64-s.xml,11,11,10,391,468,14,14,0,1,414,521,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_221-p/morph_221.79-s.xml,15,15,14,529,669,14,14,1,1,545,685,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_235-p/morph_235.4-s.xml,4,4,3,44,40,14,14,0,1,67,67,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_246-p/morph_246.27-s.xml,18,18,16,1083,1405,131,154,0,1,1618,2354,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_251-p/morph_251.51-s.xml,7,7,6,126,143,2,2,1,1,129,146,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_257-p/morph_257.32-s.xml,12,12,11,1536,2780,112,211,0,1,1675,3223,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_262-p/morph_262.29-s.xml,11,11,10,274,294,24,24,0,1,358,422,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_262-p/morph_262.46-s.xml,17,16,15,739,950,33,33,1,1,787,998,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_269-p/morph_269.46-s.xml,13,13,12,1153,2052,164,282,1,1,1455,2691,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_270-p/morph_270.31-s.xml,8,8,7,105,106,0,0,1,1,106,107,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_270-p/morph_270.64-s.xml,8,8,7,156,175,6,6,1,1,165,188,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_273-p/morph_273.35-s.xml,12,12,10,395,550,16,16,0,0,736,1138,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_273-p/morph_273.53-s.xml,9,9,8,225,268,6,6,0,1,236,297,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_274-p/morph_274.52-s.xml,15,15,12,792,1077,75,98,0,1,1497,3160,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_275-p/morph_275.13-s.xml,13,11,10,284,305,11,11,1,1,405,481,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_291-p/morph_291.22-s.xml,22,21,20,2675,4540,53,64,1,1,2737,4622,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_3-p/morph_3.13-s.xml,13,13,12,1443,2584,184,411,0,0,1721,3326,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_3-p/morph_3.36-s.xml,15,15,14,1291,2098,49,60,1,1,1345,2172,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_30-p/morph_30.55-s.xml,17,17,16,971,1302,70,70,0,1,1043,1393,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_301-p/morph_301.45-s.xml,16,16,14,907,1345,18,22,1,1,1000,1519,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_301-p/morph_301.56-s.xml,11,11,10,887,1335,149,189,1,1,1253,2078,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_305-p/morph_305.54-s.xml,7,7,6,116,114,15,15,0,1,154,160,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_305-p/morph_305.82-s.xml,6,5,4,106,106,31,31,0,1,251,294,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_311-p/morph_311.46-s.xml,10,10,8,245,280,25,25,0,1,429,549,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_311-p/morph_311.83-s.xml,16,16,15,1590,2740,202,497,1,1,2066,4036,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_321-p/morph_321.28-s.xml,7,7,6,266,331,41,51,1,1,309,396,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_323-p/morph_323.80-s.xml,10,10,8,385,497,8,8,0,1,468,682,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_325-p/morph_325.25-s.xml,7,6,4,60,54,1,1,0,1,75,73,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_325-p/morph_325.8-s.xml,8,8,7,147,158,19,21,0,0,208,249,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_326-p/morph_326.29-s.xml,8,7,6,145,161,4,4,1,1,154,170,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_342-p/morph_342.72-s.xml,10,8,7,427,507,70,92,1,1,600,799,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_349-p/morph_349.32-s.xml,10,10,9,346,438,1,1,1,1,347,439,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_349-p/morph_349.38-s.xml,6,6,5,97,106,2,2,0,1,101,112,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_352-p/morph_352.21-s.xml,10,10,9,606,881,28,28,1,1,719,1149,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_36-p/morph_36.40-s.xml,17,17,16,2577,6621,39,51,1,1,2624,6717,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_361-p/morph_361.29-s.xml,15,14,13,1021,1429,67,86,1,1,1110,1568,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_372-p/morph_372.18-s.xml,16,16,13,799,1203,38,38,0,1,910,1439,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_388-p/morph_388.23-s.xml,9,9,8,489,678,15,27,1,1,508,716,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_388-p/morph_388.45-s.xml,13,13,11,266,278,9,10,0,1,333,383,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_39-p/morph_39.59-s.xml,13,13,10,567,813,80,116,0,1,1580,2868,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_390-p/morph_390.11-s.xml,11,11,10,314,369,8,8,1,1,334,395,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_390-p/morph_390.17-s.xml,6,6,5,93,97,6,10,0,1,101,110,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_390-p/morph_390.38-s.xml,14,14,10,329,444,20,20,0,1,695,1178,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_409-p/morph_409.72-s.xml,8,8,7,71,69,3,4,0,1,74,75,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_414-p/morph_414.17-s.xml,6,6,5,69,67,0,0,1,1,74,75,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_451-p/morph_451.17-s.xml,17,16,15,517,624,35,41,1,1,556,673,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_46-p/morph_46.46-s.xml,18,18,16,1528,2744,152,298,0,1,1871,3584,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_467-p/morph_467.47-s.xml,21,18,17,1425,2503,74,102,1,1,1542,2698,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_475-p/morph_475.17-s.xml,11,11,10,166,174,1,1,0,1,169,180,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_498-p/morph_498.29-s.xml,10,9,8,151,148,8,8,1,1,163,163,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_502-p/morph_502.54-s.xml,8,6,5,244,334,43,53,1,1,307,424,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_507-p/morph_507.59-s.xml,12,12,11,327,360,3,3,1,1,336,375,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_514-p/morph_514.12-s.xml,12,12,8,376,507,32,41,0,1,582,878,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_517-p/morph_517.21-s.xml,21,21,19,2878,7249,143,322,1,1,3052,7879,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_517-p/morph_517.37-s.xml,16,15,14,1035,1781,50,60,0,0,1153,2042,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_523-p/morph_523.56-s.xml,11,10,9,180,194,3,3,1,1,229,251,0,0,1,1
NKJP_1M_031875-SuperExpress/morph_529-p/morph_529.31-s.xml,5,5,4,44,41,4,4,0,1,95,101,0,0,1,1
